Nombre,Teléfono,Correo,Dirección,Marca,País,Código postal,Repuestos,Total,Token,Prueba,Notifica encargado,Día,Notifica gerente,Dominio,Envío,Código recepción,Email Correcto
Vernon Garrett,(231) 112-5947,mauris.molestie.pharetra@aol.edu,Ap #978-2455 In St.,Audi,Nigeria,25479,9,$79.26,NPG63BRS6RK,Yes,No,03/25/2022,No,aol,Internacional,25479NPG63BRS6RK,
Aiko Allison,1-283-566-3643,ad.litora.torquent@google.couk,285-172 Nisi Av.,Renault,Ukraine,985738,8,$34.39,SIS83HFS2QG,Yes,No,01/31/2022,No,google,Internacional,985738SIS83HFS2QG,
Orli Nolan,1-793-831-5687,dui@protonmail.com,441-9227 Senectus Road,Ferrari,Colombia,308900,1,$78.49,RYH12OMN7ES,No,Yes,04/07/2022,No,protonmail,Internacional,308900RYH12OMN7ES,
Rafael Weeks,1-730-836-7845,metus.urna@icloud.ca,838-7417 Nullam Avenue,Ford,Italy,Q42 6IC,2,$48.85,QDJ16YUR5FK,No,No,05/21/2023,,,,,
Kasimir Clements,(865) 456-6315,dapibus.id@yahoo.ca,"P.O. Box 146, 156 Aliquet. Av.",BMW,Spain,390446,5,$83.19,BMK12EDR6HQ,Yes,Yes,08/12/2022,Yes,yahoo,Internacional,390446BMK12EDR6HQ,
Prescott Howard,(631) 837-8322,est.nunc@yahoo.edu,4207 Malesuada Av.,Audi,Nigeria,274456,3,$77.43,PHL59BFP8EJ,Yes,No,12/26/2022,No,yahoo,Internacional,274456PHL59BFP8EJ,
Chandler Flynn,1-738-335-3282,tempor.diam@hotmail.couk,"Ap #147-5507 Nec, Road",Mazda,Peru,48184,4,$24.13,CIB68YCQ2CL,Yes,No,06/12/2023,No,hotmail,Internacional,48184CIB68YCQ2CL,
Rafael Riggs,(571) 486-8764,egestas@protonmail.org,"P.O. Box 983, 9742 Arcu Rd.",Audi,Ireland,894136,2,$69.48,FTL32LBB3DO,No,No,01/25/2022,No,protonmail,Internacional,894136FTL32LBB3DO,
Seth Mann,1-442-548-6803,aliquet.vel@protonmail.org,8537 Vulputate Ave,Volvo,Mexico,05659,7,$55.52,SNH86RDX5TE,No,Yes,03/05/2023,No,protonmail,Internacional,05659SNH86RDX5TE,
Fritz Richmond,1-334-734-6116,phasellus.elit.pede@hotmail.org,548-5074 Id Rd.,Honda,Turkey,271587,9,$1.20,TGO71MUK6FV,No,No,04/08/2022,No,hotmail,Internacional,271587TGO71MUK6FV,
Sigourney Sandoval,(882) 488-9473,justo.eu.arcu@protonmail.couk,"P.O. Box 334, 4288 Lorem Ave",Mazda,Chile,39660-59502,8,$11.63,OLK66PKB3UQ,No,Yes,12/24/2021,,,,,
Rudyard Walton,(209) 654-7214,lectus.pede@yahoo.couk,"P.O. Box 823, 6508 Sit Av.",Nissan,Chile,26967,5,$34.33,VSJ32SPW7HH,Yes,No,06/11/2022,No,yahoo,Internacional,26967VSJ32SPW7HH,
Chantale Lang,1-865-173-6156,proin.eget@google.ca,252-408 Faucibus Rd.,Honda,Austria,527432,5,$64.02,MRG72UMF2DK,Yes,Yes,05/02/2022,No,google,Internacional,527432MRG72UMF2DK,
Macon Sharpe,1-644-797-6173,fusce@icloud.ca,425-6259 Venenatis St.,BMW,China,47-264,0,$64.36,LVS98FCF3NK,Yes,Yes,01/24/2023,,,,,
Wylie Tate,(839) 712-2598,hendrerit.neque.in@protonmail.com,"P.O. Box 191, 7815 Nulla Road",Ferrari,Italy,3267,3,$43.94,VFD37GEA6FG,Yes,No,06/05/2023,No,protonmail,Internacional,3267VFD37GEA6FG,
